epoch,model,loss,tesst-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,resnet18,"tensor(1.7016, device='cuda:0', grad_fn=<NllLossBackward0>)",41.6,67.48121995192307,58.8378136320316,72.07900350904825,87.08904109589041,445.59690711978163,226.45803490766514,6.026260554790497,15.845276117324829,87.4
2,resnet18,"tensor(1.3628, device='cuda:0', grad_fn=<NllLossBackward0>)",50.14,74.16873348287051,76.46566318622929,70.502075186142,83.41355796229443,296.4134094539785,143.95544761351158,4.718821495771408,14.004877805709839,83.47
3,resnet18,"tensor(0.9658, device='cuda:0', grad_fn=<NllLossBackward0>)",58.95,75.80636576549213,82.82247496330045,64.56935482631012,80.73081607795372,216.16093165779432,117.2002211910717,6.382160633802414,11.32271409034729,80.95
4,resnet18,"tensor(0.7285, device='cuda:0', grad_fn=<NllLossBackward0>)",66.26,77.3013000822504,87.393122482355,60.26601259703093,77.77119146413753,157.8928857847336,93.20830445322147,4.265733435750008,9.596874117851257,78.01
5,resnet18,"tensor(0.5821, device='cuda:0', grad_fn=<NllLossBackward0>)",64.99,79.84403286793096,88.95398213288594,62.7857727910754,77.69208797486432,150.60630089350005,80.57211036928388,8.420106023550034,10.594680309295654,77.78
6,resnet18,"tensor(0.6597, device='cuda:0', grad_fn=<NllLossBackward0>)",68.07,80.99832613679357,90.61109275923202,62.267252963686246,74.53805198872534,127.99874875776455,70.51883927593158,8.843593299388885,9.555259943008423,74.76
7,resnet18,"tensor(0.6118, device='cuda:0', grad_fn=<NllLossBackward0>)",73.9,80.314855427496,92.09464667645933,56.25111108753884,73.60153256704982,100.46883805718831,62.98482564426648,5.548275262117386,7.970004081726074,73.87
8,resnet18,"tensor(0.5004, device='cuda:0', grad_fn=<NllLossBackward0>)",72.43,81.97584590197052,92.7951113804955,58.454991747162,73.9209285455205,98.88084166392268,56.80352257959724,8.2780621945858,8.263881802558899,74.28
9,resnet18,"tensor(0.5642, device='cuda:0', grad_fn=<NllLossBackward0>)",69.9,81.14633624684528,91.40411210646066,60.88592946422566,75.08305647840533,116.57696735479463,65.89203854187504,7.95292928814888,9.530422687530518,75.32
